Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
12/30/2009,BAJAJFINSV,EQ,330.1,331,337,330,336.5,335.65,334.43,100575,3.36352E+12,,84285,0.838
12/31/2009,BAJAJFINSV,EQ,335.65,337,353.4,336,346,345.6,348.09,483780,1.68401E+13,,199310,0.412
1/4/2010,BAJAJFINSV,EQ,345.6,349.45,361.25,346.25,360,359.45,356.34,242661,8.64702E+12,,92679,0.3819
1/5/2010,BAJAJFINSV,EQ,359.45,365,371.7,357.05,358.6,360.25,364.51,192143,7.00373E+12,,92546,0.4817
1/6/2010,BAJAJFINSV,EQ,360.25,360,362,350.1,350.9,351.75,355.2,67893,2.41156E+12,,32843,0.4837
1/7/2010,BAJAJFINSV,EQ,351.75,352,356.95,347,349.9,349,350.99,46940,1.64755E+12,,25446,0.5421
1/8/2010,BAJAJFINSV,EQ,349,353,358.25,348,349.3,350,352.63,52937,1.86672E+12,,30718,0.5803
1/11/2010,BAJAJFINSV,EQ,350,354.6,355.5,347.5,352.9,351.55,351.82,135685,4.77365E+12,,99206,0.7311
1/12/2010,BAJAJFINSV,EQ,351.55,354.9,356.9,341,342,343.1,350.2,119529,4.18585E+12,,49055,0.4104
1/13/2010,BAJAJFINSV,EQ,343.1,340,340.9,334.1,339.5,339.45,337.46,93307,3.14871E+12,,39275,0.4209
1/14/2010,BAJAJFINSV,EQ,339.45,342,346,339,341.85,340.15,341.36,60551,2.06695E+12,,45640,0.7537
1/15/2010,BAJAJFINSV,EQ,340.15,340.95,351,338.3,344.95,343.55,345.91,70631,2.4432E+12,,36177,0.5122
1/18/2010,BAJAJFINSV,EQ,343.55,336.75,347.9,336.75,345.35,346.4,344.9,35320,1.2182E+12,,20736,0.5871
1/19/2010,BAJAJFINSV,EQ,346.4,347,356.5,347,353,352.75,351.77,104056,3.66033E+12,,64064,0.6157
1/20/2010,BAJAJFINSV,EQ,352.75,352,356.1,347.55,352,352.15,352.1,48002,1.69015E+12,,34599,0.7208
1/21/2010,BAJAJFINSV,EQ,352.15,349,355,345,348.5,347.95,350.03,67449,2.36095E+12,,51582,0.7648
1/22/2010,BAJAJFINSV,EQ,347.95,338.6,353.45,335.05,347.1,348.5,344.93,67841,2.34003E+12,,51539,0.7597
1/25/2010,BAJAJFINSV,EQ,348.5,349.9,350.95,340,340.15,343.45,347.89,61334,2.13373E+12,,45214,0.7372
1/27/2010,BAJAJFINSV,EQ,343.45,340,343,321.75,325.1,325.8,337.65,119545,4.03638E+12,,101273,0.8472
1/28/2010,BAJAJFINSV,EQ,325.8,339.4,339.4,316,321,320.9,324.37,36583,1.18664E+12,,21392,0.5848
1/29/2010,BAJAJFINSV,EQ,320.9,317.85,322.5,310.35,318.35,318.6,317.09,39201,1.24303E+12,,26571,0.6778
2/1/2010,BAJAJFINSV,EQ,318.6,318.6,341,315,330,330,330.75,318443,1.05326E+13,,249764,0.7843
2/2/2010,BAJAJFINSV,EQ,330,334.95,339.75,326.15,331,330.35,330.95,108887,3.60366E+12,,97228,0.8929
2/3/2010,BAJAJFINSV,EQ,330.35,324,341,324,341,338.2,335.52,136867,4.59223E+12,,125132,0.9143
2/4/2010,BAJAJFINSV,EQ,338.2,340,342.5,337,340.5,339.85,340.1,313823,1.06732E+13,,286977,0.9145
2/5/2010,BAJAJFINSV,EQ,339.85,320,349.95,320,347,346.85,340.11,59931,2.03834E+12,,29649,0.4947
2/6/2010,BAJAJFINSV,EQ,346.85,342,347.85,342,343,343.7,344.45,5704,1.96472E+11,,3073,0.5387
2/8/2010,BAJAJFINSV,EQ,343.7,345,361.65,344.05,358.55,359.5,355.43,104235,3.70479E+12,,43384,0.4162
2/9/2010,BAJAJFINSV,EQ,359.5,359.5,359.5,347.9,348.5,348.6,354.36,49045,1.73797E+12,,39760,0.8107
2/10/2010,BAJAJFINSV,EQ,348.6,358,358,337.9,339,341.1,348.45,16584,5.77871E+11,,6292,0.3794
2/11/2010,BAJAJFINSV,EQ,341.1,343,351,335.35,339,337.75,339.89,23615,8.02653E+11,,13235,0.5604
2/15/2010,BAJAJFINSV,EQ,337.75,339,348,337,338,337.85,341.65,19061,6.51222E+11,,7309,0.3835
2/16/2010,BAJAJFINSV,EQ,337.85,347,347,325.5,331,332.05,330.13,1111155,3.66824E+13,,932038,0.8388
2/17/2010,BAJAJFINSV,EQ,332.05,339.8,339.8,330,331,330.35,334.45,48146,1.61027E+12,,22727,0.472
2/18/2010,BAJAJFINSV,EQ,330.35,326.2,336.9,326.2,330,330.75,331.91,11269,3.74025E+11,,4381,0.3888
2/19/2010,BAJAJFINSV,EQ,330.75,330,332.95,327.5,331,330.05,330.3,13795,4.55655E+11,,7528,0.5457
2/22/2010,BAJAJFINSV,EQ,330.05,334.95,337,329.1,330,330.05,331.08,34665,1.14769E+12,,21825,0.6296
2/23/2010,BAJAJFINSV,EQ,330.05,331,332.95,326.25,331,331.5,331.57,27720,9.19124E+11,,21481,0.7749
2/24/2010,BAJAJFINSV,EQ,331.5,332,333,328,330,330.3,330.61,14242,4.70849E+11,,9575,0.6723
2/25/2010,BAJAJFINSV,EQ,330.3,330.3,333.8,330.3,331.35,331.55,331.84,16211,5.37944E+11,,11379,0.7019
2/26/2010,BAJAJFINSV,EQ,331.55,331.55,354,331.55,343.05,347.1,344.69,207719,7.15982E+12,,111714,0.5378
3/2/2010,BAJAJFINSV,EQ,347.1,345,360,344,348,346.9,349.65,238951,8.35502E+12,,129437,0.5417
3/3/2010,BAJAJFINSV,EQ,346.9,347,353,340,342,341.6,344.49,50868,1.75233E+12,,31220,0.6137
3/4/2010,BAJAJFINSV,EQ,341.6,346,347.95,335.35,338.35,338.15,341.02,37246,1.27017E+12,,19295,0.518
3/5/2010,BAJAJFINSV,EQ,338.15,337.25,344.45,335.3,337.8,337.05,340.35,45508,1.54886E+12,,28168,0.619
3/8/2010,BAJAJFINSV,EQ,337.05,343,344,333,335,334.2,338.57,34202,1.15797E+12,,19385,0.5668
